,Name,Entry No.,TimeStamp,Total Time,Status
14,EprfyYImHV,0468JCQ6471,"( 11:02:04 AM,  12:24:44 PM, 1:22:40)",0 days 01:22:40.000000000,Present
15,ErAcGNCLoU,0993HDA4785,"( 11:07:35 AM,  11:20:47 AM, 0:13:12)",0 days 00:13:12.000000000,Absent
16,EzYiIeBVXf,8875ECV5523,"( 11:00:36 AM,  11:00:46 AM, 0:00:10)( 11:01:10 AM,  12:25:07 PM, 1:23:57)",0 days 01:24:07.000000000,Present
17,FhumgZBBxP,8401NUR1949,"( 11:00:30 AM,  11:01:14 AM, 0:00:44)( 11:01:14 AM,  12:25:05 PM, 1:23:51)",0 days 01:24:35.000000000,Present
18,FuBBrMzovM,,"( 11:01:38 AM,  12:25:28 PM, 1:23:50)",0 days 01:23:50.000000000,Present
19,GBXweYDqsg,8427OXZ8258,"( 11:06:54 AM,  12:26:56 PM, 1:20:02)",0 days 01:20:02.000000000,Present
20,HFKKapiOpv,1022TDR8179,"( 11:00:34 AM,  11:00:37 AM, 0:00:03)",0 days 00:00:03.000000000,Absent
21,HOfepDiTtB,8261XAE3637,"( 11:10:48 AM,  11:14:27 AM, 0:03:39)",0 days 00:03:39.000000000,Absent
22,HPvGMWizLF,3701HLS7814,"( 11:08:13 AM,  12:03:57 PM, 0:55:44)",0 days 00:55:44.000000000,Present
23,HTtlWCopbb,6381WML3887,"( 11:10:25 AM,  12:25:46 PM, 1:15:21)",0 days 01:15:21.000000000,Present
24,HaLMViUpSX,5913WDX3461,"( 11:01:13 AM,  12:24:31 PM, 1:23:18)",0 days 01:23:18.000000000,Present
25,HojgCrUTmO,9432KLH2975,"( 11:37:48 AM,  12:02:10 PM, 0:24:22)",0 days 00:24:22.000000000,Absent
26,IFjdylPmIA,8237GEU2376,"( 11:21:57 AM,  12:25:38 PM, 1:03:41)",0 days 01:03:41.000000000,Present
27,IFtcDyjYAb,1501DIH8512,"( 11:03:14 AM,  12:24:55 PM, 1:21:41)",0 days 01:21:41.000000000,Present
28,ILTRybPlEi,6008ZGZ3675,"( 11:02:14 AM,  12:24:51 PM, 1:22:37)",0 days 01:22:37.000000000,Present
29,ISfwOTbWPt,1258MQE2279,"( 10:58:20 AM,  11:01:23 AM, 0:03:03)",0 days 00:03:03.000000000,Absent
30,IWoaCKnPOE,0654NUL5820,"( 11:39:54 AM,  12:02:22 PM, 0:22:28)",0 days 00:22:28.000000000,Absent
